OBJECTID_,WardID_,WardNo_,Crowded dwellings,No piped water,Using public healthcare facilities,Poor health status,Failed to find healthcare when needed,No medical insurance,Household hunger risk,Benefiting from school feeding scheme,UTFVI,LST,NDVI,NDBI__mean,concern_he,cancer_pro,diabetes_p,pneumonia_,heart_dise,hypertensi,hiv_prop,tb_prop,covid_prop,60_plus_pr,HVI_PC1,HVI_weighted,HVI_PC1_standardized,HVI_weighted_standardized
2399,79800010,10,25.29,3.16,53.79,5.05,4.58,57.81,45.02,51.31,-0.032832370920893,28.8604406866132,0.139011058202167,0.368891281482703,46.1538461538462,7.69230769230769,0.001153846153846,0.0,0.000769230769231,0.003461538461538,0.000384615384615,0.0,0.0,0.001538461538462,-0.78317135156829,-0.2640964458703496,0.3613450454598844,0.3841941972836717
2400,79800011,11,17.69,0.0,92.06,5.85,3.93,80.64,50.27,43.25,-0.015507366669169,29.4108709178302,0.159840410208132,0.330634470437771,50.0,3.84615384615385,0.001153846153846,0.0,0.000384615384615,0.001538461538462,0.000384615384615,0.000384615384615,0.000384615384615,0.000769230769231,-0.8974115247364975,-0.43527902987978245,0.3499597752216524,0.3376215983293372
2401,79800012,12,24.18,0.0,72.09,6.16,6.16,81.64,52.13,34.17,-0.014000998609464,29.5991769996186,0.100247978769536,0.390480146710817,53.8461538461538,3.84615384615385,0.001153846153846,0.0,0.001153846153846,0.001923076923077,0.000384615384615,0.000384615384615,0.0,0.002307692307692,-1.9913124113676333,-0.6585553641160198,0.24094070721131935,0.2768761712723111
2402,79800013,13,3.23,1.61,72.01,8.81,3.97,70.48,36.12,40.42,-0.0379083933981,28.6795646891874,0.142145504353787,0.341493624931108,50.0,0.0,0.001428571428571,0.000357142857143,0.000357142857143,0.001428571428571,0.000357142857143,0.0,0.000714285714286,0.000714285714286,0.23009990763334756,-0.03480468674447082,0.4623284980467258,0.44657620420976757
2403,79800014,14,5.44,1.69,72.8,7.9,11.27,65.29,31.49,12.06,-0.068164221398192,27.6641416564789,0.137066203039068,0.345640176747726,53.8461538461538,0.0,0.000769230769231,0.000384615384615,0.0,0.001538461538462,0.000384615384615,0.000384615384615,0.0,0.002692307692308,0.1673857726970627,0.0767175415692515,0.4560783554374773,0.4769173749766636
2404,79800015,15,22.13,0.0,87.95,8.31,10.63,86.91,63.2,54.75,-0.026026733062808,29.1855485029988,0.09487188351589,0.391101755317441,34.6153846153846,3.84615384615385,0.001153846153846,0.000384615384615,0.0,0.000769230769231,0.001153846153846,0.000769230769231,0.000384615384615,0.000769230769231,-3.4132405413363593,-1.0516251519454027,0.09923017255376933,0.16993607747962444
2405,79800016,16,30.28,1.98,86.52,16.82,6.8,88.88,48.58,26.66,-0.040817474723077,28.5977699566213,0.124755847686743,0.36964449004712,38.4615384615385,7.69230769230769,0.002692307692308,0.001153846153846,0.000384615384615,0.003461538461538,0.001538461538462,0.000769230769231,0.001153846153846,0.001923076923077,-1.8057186696801504,-0.050770420264765775,0.259437133162332,0.4422325047116253
2406,79800017,17,26.19,1.95,83.09,12.2,3.91,89.91,47.28,32.3,-0.050828176364776,28.2250643632126,0.140070636803589,0.332886311590734,42.3076923076923,11.5384615384615,0.001153846153846,0.0,0.000384615384615,0.001923076923077,0.000769230769231,0.0,0.0,0.000384615384615,-1.0629139525808884,-0.2973149747913637,0.33346566624199037,0.37515663523117865
2407,79800018,18,13.82,1.48,75.98,6.02,5.78,76.12,46.16,55.24,-0.041542182077802,28.5503210985294,0.14880315577967,0.333739580101018,53.8461538461538,0.0,0.002307692307692,0.001153846153846,0.000384615384615,0.002692307692308,0.000384615384615,0.0,0.001153846153846,0.001153846153846,-0.07833771926561724,0.10635467687153269,0.43158934879217137,0.48498056916534593
2408,79800019,19,25.77,32.38,86.23,8.46,7.93,94.15,59.93,65.13,-0.053265820648729,28.102057556289,0.148996868485758,0.320189698847362,53.8461538461538,7.69230769230769,0.002692307692308,0.000769230769231,0.001923076923077,0.003461538461538,0.001153846153846,0.000769230769231,0.000769230769231,0.000769230769231,-1.990433007249083,-0.2934359177424535,0.24102834935383927,0.3762119865644073
